Trial Name ,Replicate #,Day,Arena,"Trial length (hours, pasted values)",Mouse ID,Mouse treatment,Mouse sex,BLT added to sock,Initial BLT (assumed on mouse; post sock infestation),Final BLT (# of ticks found on mouse),BLT % tick attachment,BLT_EAR,BLT_NOSE,BLT_EYES,BLT_CHIN,BLT_NECK,BLT_BACK,BLT_FACE,BLT_ARMS,BLT_TAIL,GCT added to sock,Initial GCT (assumed on mouse; post sock infestation),Final GCT (# of ticks found on mouse),GCT % tick attachment,GCT_NOSE,GCT_EARS,GCT_EYES,GCT_FACE,GCT_TOES,GCT_NECK,GCT_BACK,Distance moved (cm),Groom Freq (# of times grooming),Groom Cumulative Duration (sec),Proportion of Time Grooming,Groom Cumulative Duration (hours),Groom freq per hour (# of separate grooming bouts per hour),Percent time grooming,NOTES,BLT TICK SOURCE,GCT TICK SOURCE
73,14,1,4,23.00,BK128,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,65740.6,719,15810.5,0.190948068,4.39,31.26,14.05,,CDC,OK
74,14,2,1,24.50,BK121,BLT,F,30,17,12,70.59%,1,,3,,,,8,,,0,,,,,,,,,,,49773,568,9361.23,0.106136395,2.60,23.18,11.22,,CDC,OK
74,14,2,2,24.50,BK125,BLTxGCT,F,15,4,1,25.00%,,,1,,,,,,,15,10,1,10.00%,,1,,,,,,90556.7,447,9001.37,0.102056349,2.50,18.24,13.70,,CDC,OK
74,14,2,3,24.50,BK127,GCT,F,0,,,,,,,,,,,,,30,16,7,43.75%,,5,,1,,1,,768742,420,8076.38,0.091568934,2.24,17.14,13.09,,CDC,OK
74,14,2,4,24.50,BK128,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,52494.9,524,9838.57,0.111548413,2.73,21.39,12.78,,CDC,OK
75,14,3,1,23.00,BK121,BLT,F,30,17,12,70.59%,1,,3,,,,8,,,0,,,,,,,,,,,63726.6,865,14206.6,0.171577295,3.95,37.61,10.49,,CDC,OK
75,14,3,2,23.00,BK125,BLTxGCT,F,15,4,1,25.00%,,,1,,,,,,,15,10,1,10.00%,,1,,,,,,250697,426,8407.77,0.101543116,2.34,18.52,12.61,,CDC,OK
75,14,3,3,23.00,BK127,GCT,F,0,,,,,,,,,,,,,30,16,7,43.75%,,4,,1,,1,,927989,407,7312.71,0.088317754,2.03,17.70,11.48,,CDC,OK
75,14,3,4,23.00,BK128,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,51973.6,438,7754.49,0.093653261,2.15,19.04,11.31,,CDC,OK
76,14,4,1,24.00,BK121,BLT,F,30,17,12,70.59%,0,,3,,,,6,,,0,,,,,,,,,,,70633.7,692,10089.4,0.116775463,2.80,28.83,9.72,,CDC,OK
76,14,4,2,24.00,BK125,BLTxGCT,F,15,4,1,25.00%,,,1,,,,,,,15,10,1,10.00%,,1,,,,,,433888,491,7555.86,0.087452083,2.10,20.46,10.26,,CDC,OK
76,14,4,3,24.00,BK127,GCT,F,0,,,,,,,,,,,,,30,16,7,43.75%,,4,,1,,1,,256356,399,7171.5,0.083003472,1.99,16.63,11.98,,CDC,OK
76,14,4,4,24.00,BK128,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,50811.7,470,8891.32,0.102908796,2.47,19.58,12.61,,CDC,OK
